block_num,Prompt Set,Prompt Number,Prompt
1,1,1,When was the last time you walked for more than an hour? Describe where you went and what you saw.
1,1,2,What was the best gift you ever received and why?
1,1,3,"If you had to move from Kansas, where would you go, and what would you miss the most about Kansas?"
1,1,4,How did you celebrate last Halloween?
1,1,5,Do you read a newspaper often and which do you prefer? Why?
1,1,6,What is a good number of people to have in a student household and why?
1,1,7,"If you could invent a new flavor of ice cream, what would it be?"
1,1,8,What is the best restaurant you’ve been to in the last month? Tell your partner about it.
1,1,9,Describe the last pet you owned.
1,1,10,What is your favorite holiday? Why?
1,1,11,Tell your partner the funniest thing that ever happened to you when you were with a small child.
1,1,12,What gifts did you receive on your last birthday?
1,2,13,Describe the last time you went to the zoo.
1,2,14,Tell the names and ages of you family members (to the extent you know this information)
1,2,15,"One of you say a word, the next say a word that starts with the last letter of the word just said. Do this until you have 10 words. Any words will do – you aren’t making a sentence."
1,2,16,Do you like to get up early or stay up late? Is there anything funny that has resulted from this?
1,2,17,Where are you from? Name all the places you’ve lived.
1,2,18,What is your favorite college class you’ve taken? Why?
1,2,19,What did you do this summer?
1,2,20,What gifts did you receive last holiday season?
1,2,21,Who is your favorite actor of your own gender? Describe a scene in which this person has acted.
1,2,22,What was your first impression of college the first time you ever went on campus?
1,2,23,What is the best TV show you’ve seen in the last month? Tell your partner about it.
1,2,24,What is your favorite holiday? Why?
1,3,25,What was your high school like?
1,3,26,What is the best book you’ve read in the last three months? Tell your partner about it.
1,3,27,What foreign country would you most like to visit? What attracts you to this place?
1,3,28,Do you prefer digital watches and clock or the kind with hands? Why?
1,3,29,Describe your mother’s best friend.
1,3,30,What are the advantages and disadvantages of artificial Christmas trees?
1,3,31,How often do you get your hair cut? Have you ever had a really bad haircut experience?
1,3,32,Did you have a class pet when you were in elementary school? Do you remember the pets name?
1,3,33,Do you think left-handed people are more creative than right-handed people?
1,3,34,What is the last concert you saw?
1,3,35,Do you subscribe to any magazines? Which ones?
1,3,36,Were you ever in a school play? What was your role? What was the plot of the play? Did anything funny ever happen when you were on stage?
