timestamp,log_type,message,stacktrace
0,Log,ExtensionMethods.GetMeshRenderer: BeardMesh not found on Man.,UnityEngine.Debug:Log (object).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:<GetMeshRenderer>g__GetMesh|7_3 (System.Func`2<UnityEngine.SkinnedMeshRenderer bool>Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/<>c__DisplayClass7_0&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:79).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:GetMeshRenderer (UnityEngine.GameObjectWolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshType) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:60).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:GetMeshAndSetIndex (Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshTypeUnityEngine.SkinnedMeshRenderer&int&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:135).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:Start () (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:43).  
0,Log,ExtensionMethods.GetMeshRenderer: BeardMesh not found on Woman.,UnityEngine.Debug:Log (object).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:<GetMeshRenderer>g__GetMesh|7_3 (System.Func`2<UnityEngine.SkinnedMeshRenderer bool>Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/<>c__DisplayClass7_0&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:79).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:GetMeshRenderer (UnityEngine.GameObjectWolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshType) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:60).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:GetMeshAndSetIndex (Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshTypeUnityEngine.SkinnedMeshRenderer&int&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:135).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:Start () (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:43).  
13.83945,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,TODO: Set selected agent model here...,UnityEngine.Debug:Log (object).  StudyController:initializeAgent () (at Assets/Experiment/StudyController.cs:83).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:54).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,TODO: Set selected agent voice here...,UnityEngine.Debug:Log (object).  StudyController:initializeAgent () (at Assets/Experiment/StudyController.cs:84).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:54).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,Load experimenter UI.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:67).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,Load subject UI.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:71).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,Starting proxemics tracker.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:75).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,Average Distance: 1.600955 with 1 samples in 18.00096 sec.,UnityEngine.Debug:Log (object).  ProxemicsTracker:CalculateAverageValues () (at Assets/Experiment/ProxemicsTracker.cs:93).  ProxemicsTracker:GetAverageValues () (at Assets/Experiment/ProxemicsTracker.cs:117).  ProxemicsAverageTracker:GetCurrentValues () (at Assets/Experiment/ProxemicsAverageTracker.cs:34).  UXF.Tracker:RecordRow () (at Assets/UXF/Scripts/Etc/Tracker.cs:80).  StudyController/<ProxemicsTrackingManualRecordAverage>d__11:MoveNext () (at Assets/Experiment/StudyController.cs:130).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:77).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
13.83945,Log,Average Gaze: 0.851846 with 1 samples in 18.00096 sec.,UnityEngine.Debug:Log (object).  ProxemicsTracker:CalculateAverageValues () (at Assets/Experiment/ProxemicsTracker.cs:103).  ProxemicsTracker:GetAverageValues () (at Assets/Experiment/ProxemicsTracker.cs:117).  ProxemicsAverageTracker:GetCurrentValues () (at Assets/Experiment/ProxemicsAverageTracker.cs:34).  UXF.Tracker:RecordRow () (at Assets/UXF/Scripts/Etc/Tracker.cs:80).  StudyController/<ProxemicsTrackingManualRecordAverage>d__11:MoveNext () (at Assets/Experiment/StudyController.cs:130).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:77).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  ExprSettings:BeginExperiment () (at Assets/ExprSettings.cs:61).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
