time,distance,gaze
13.83945,1.600955,0.851846
14.14011,1.606658,0.854032
14.44018,1.610891,0.855992
14.74078,1.614215,0.858138
15.04149,1.612655,0.858354
15.34217,1.602448,0.854853
15.64284,1.598819,0.853387
15.94394,1.603045,0.853863
16.24481,1.610433,0.855505
16.54495,1.618474,0.85824
16.84604,1.618817,0.858675
17.14679,1.61224,0.856561
17.44752,1.60376,0.85319
17.74805,1.597585,0.850472
18.04899,1.599348,0.851156
18.34934,1.60499,0.853377
18.6496,1.609889,0.855474
18.94978,1.613124,0.857277
19.25056,1.614719,0.859004
19.55109,1.605482,0.855907
19.85152,1.598659,0.853511
20.15252,1.601353,0.853609
20.45286,1.607607,0.854666
20.75366,1.61668,0.857573
21.05453,1.619591,0.858863
21.35553,1.614748,0.857428
21.65561,1.606346,0.854258
21.95563,1.598866,0.851061
22.25602,1.597959,0.850511
22.55693,1.603193,0.852702
22.86225,1.608205,0.854683
23.25711,1.609594,0.855321
23.73244,1.614933,0.85876
24.03294,1.600166,0.85409
24.33367,1.599586,0.853399
24.63421,1.604863,0.854146
24.93425,1.61339,0.856471
25.23462,1.619478,0.858691
25.53573,1.617443,0.858276
25.83658,1.609668,0.855595
26.13773,1.601393,0.852185
26.4378,1.59712,0.850208
26.73894,1.600953,0.851846
27.03965,1.606655,0.854031
27.34055,1.610896,0.855995
27.6414,1.614222,0.858145
27.94184,1.612642,0.858351
28.2422,1.602442,0.854851
28.54321,1.598821,0.853387
28.84357,1.603039,0.853862
29.1438,1.610389,0.855491
29.44407,1.618455,0.858233
29.74473,1.61883,0.858678
30.04581,1.612263,0.85657
30.34651,1.603785,0.853201
30.6469,1.597591,0.850476
30.9472,1.59932,0.851144
31.24738,1.604938,0.853358
31.54818,1.609873,0.855466
31.849,1.613113,0.857271
32.14997,1.61473,0.859008
32.45016,1.605495,0.855911
