timestamp,log_type,message,stacktrace
0,Log,ExtensionMethods.GetMeshRenderer: BeardMesh not found on Man.,UnityEngine.Debug:Log (object).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:<GetMeshRenderer>g__GetMesh|7_3 (System.Func`2<UnityEngine.SkinnedMeshRenderer bool>Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/<>c__DisplayClass7_0&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:79).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:GetMeshRenderer (UnityEngine.GameObjectWolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshType) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:60).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:GetMeshAndSetIndex (Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshTypeUnityEngine.SkinnedMeshRenderer&int&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:135).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:Start () (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:43).  
0,Log,ExtensionMethods.GetMeshRenderer: BeardMesh not found on Woman.,UnityEngine.Debug:Log (object).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:<GetMeshRenderer>g__GetMesh|7_3 (System.Func`2<UnityEngine.SkinnedMeshRenderer bool>Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/<>c__DisplayClass7_0&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:79).  Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods:GetMeshRenderer (UnityEngine.GameObjectWolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshType) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Utils/ExtensionMethods.cs:60).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:GetMeshAndSetIndex (Wolf3D.ReadyPlayerMe.AvatarSDK.ExtensionMethods/MeshTypeUnityEngine.SkinnedMeshRenderer&int&) (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:135).  Wolf3D.ReadyPlayerMe.AvatarSDK.VoiceHandler:Start () (at Assets/Agent/Plugins/Wolf3D Ready Player Me SDK/Scripts/Extras/VoiceHandler.cs:43).  
3.760624,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,TODO: Set selected agent model here...,UnityEngine.Debug:Log (object).  StudyController:initializeAgent () (at Assets/Experiment/StudyController.cs:54).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:32).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,TODO: Set selected agent voice here...,UnityEngine.Debug:Log (object).  StudyController:initializeAgent () (at Assets/Experiment/StudyController.cs:55).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:32).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,Turning on FPS controller.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:35).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,Load experimenter UI.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:39).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,Starting proxemics tracker.,UnityEngine.Debug:Log (object).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:47).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
3.760624,Log,Updating UI with tracking data.,UnityEngine.Debug:Log (object).  StudyController/<ManualRecord>d__8:MoveNext () (at Assets/Experiment/StudyController.cs:72).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  StudyController:TrialStart (UXF.Trial) (at Assets/Experiment/StudyController.cs:48).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:336).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:431).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
4.060745,Log,Updating UI with tracking data.,UnityEngine.Debug:Log (object).  StudyController/<ManualRecord>d__8:MoveNext () (at Assets/Experiment/StudyController.cs:72).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr) (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/Coroutines.cs:17).  
