timestamp,log_type,message,stacktrace
70.27011,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
70.27011,Log,Running trial 1,
70.27011,Log,The 'thrust' for this trial is: 0.6760564,
75.2701,Log,The space shuttle got an altitude of 5.391529!,
75.2701,Log,Ending trial,
77.27007,Log,Running trial 2,
77.27007,Log,The 'thrust' for this trial is: 1.906182,
82.27003,Log,The space shuttle got an altitude of 11.53086!,
82.27003,Log,Ending trial,
84.27003,Log,Running trial 3,
84.27003,Log,The 'thrust' for this trial is: 1.589131,
89.27001,Log,The space shuttle got an altitude of 9.945639!,
89.27001,Log,Ending trial,
