time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
84.27003,0,2,0,0,270,90.00001
84.28671,0,2.026519,0,0,270,90.00001
84.30336,0,2.052978,0,0,270,90.00001
84.32005,0,2.079485,0,0,270,90.00001
84.33669,0,2.105944,0,0,270,90.00001
84.35337,0,2.132445,0,0,270,90.00001
84.37002,0,2.158904,0,0,270,90.00001
84.3867,0,2.185421,0,0,270,90.00001
84.40337,0,2.211913,0,0,270,90.00001
84.42003,0,2.238372,0,0,270,90.00001
84.43671,0,2.264883,0,0,270,90.00001
84.45336,0,2.291342,0,0,270,90.00001
84.47004,0,2.317849,0,0,270,90.00001
84.48671,0,2.344341,0,0,270,90.00001
84.50336,0,2.3708,0,0,270,90.00001
84.52003,0,2.397305,0,0,270,90.00001
84.53669,0,2.423764,0,0,270,90.00001
84.55337,0,2.450267,0,0,270,90.00001
84.57001,0,2.476726,0,0,270,90.00001
84.58671,0,2.503254,0,0,270,90.00001
84.60336,0,2.529713,0,0,270,90.00001
84.62003,0,2.55621,0,0,270,90.00001
84.6367,0,2.582706,0,0,270,90.00001
84.65336,0,2.609165,0,0,270,90.00001
84.67004,0,2.635678,0,0,270,90.00001
84.68671,0,2.662168,0,0,270,90.00001
84.70336,0,2.688627,0,0,270,90.00001
84.72004,0,2.715131,0,0,270,90.00001
84.73669,0,2.74159,0,0,270,90.00001
84.75336,0,2.768095,0,0,270,90.00001
84.77002,0,2.794554,0,0,270,90.00001
84.7867,0,2.821064,0,0,270,90.00001
84.80335,0,2.847523,0,0,270,90.00001
84.82003,0,2.874036,0,0,270,90.00001
84.8367,0,2.900525,0,0,270,90.00001
84.85336,0,2.926984,0,0,270,90.00001
84.87003,0,2.953498,0,0,270,90.00001
84.88669,0,2.979957,0,0,270,90.00001
84.90337,0,3.006466,0,0,270,90.00001
84.92002,0,3.032925,0,0,270,90.00001
84.93671,0,3.059444,0,0,270,90.00001
84.95335,0,3.085903,0,0,270,90.00001
84.97003,0,3.11241,0,0,270,90.00001
84.98672,0,3.138923,0,0,270,90.00001
85.00337,0,3.165382,0,0,270,90.00001
85.02002,0,3.191841,0,0,270,90.00001
85.03671,0,3.218354,0,0,270,90.00001
85.05338,0,3.244843,0,0,270,90.00001
85.07002,0,3.271302,0,0,270,90.00001
85.0867,0,3.297801,0,0,270,90.00001
85.10335,0,3.32426,0,0,270,90.00001
85.12003,0,3.35077,0,0,270,90.00001
85.1367,0,3.377262,0,0,270,90.00001
85.15337,0,3.403757,0,0,270,90.00001
85.17002,0,3.430216,0,0,270,90.00001
85.1867,0,3.45672,0,0,270,90.00001
85.20337,0,3.483207,0,0,270,90.00001
85.22002,0,3.509666,0,0,270,90.00001
85.2367,0,3.536176,0,0,270,90.00001
85.25337,0,3.562665,0,0,270,90.00001
85.27003,0,3.589152,0,0,270,90.00001
85.28669,0,3.615611,0,0,270,90.00001
85.30337,0,3.642121,0,0,270,90.00001
85.32002,0,3.66858,0,0,270,90.00001
85.3367,0,3.69509,0,0,270,90.00001
85.35337,0,3.721576,0,0,270,90.00001
85.37002,0,3.748035,0,0,270,90.00001
85.3867,0,3.774552,0,0,270,90.00001
85.40337,0,3.801039,0,0,270,90.00001
85.42002,0,3.827498,0,0,270,90.00001
85.4367,0,3.853999,0,0,270,90.00001
85.45337,0,3.880494,0,0,270,90.00001
85.47002,0,3.906953,0,0,270,90.00001
85.4867,0,3.933458,0,0,270,90.00001
85.50335,0,3.959917,0,0,270,90.00001
85.52003,0,3.986418,0,0,270,90.00001
85.53671,0,4.012916,0,0,270,90.00001
85.55335,0,4.039375,0,0,270,90.00001
85.57004,0,4.06589,0,0,270,90.00001
85.58669,0,4.092349,0,0,270,90.00001
85.60336,0,4.118851,0,0,270,90.00001
85.62001,0,4.14531,0,0,270,90.00001
85.6367,0,4.171818,0,0,270,90.00001
85.65336,0,4.198305,0,0,270,90.00001
85.67003,0,4.224792,0,0,270,90.00001
85.68668,0,4.251251,0,0,270,90.00001
85.70336,0,4.277763,0,0,270,90.00001
85.72003,0,4.304255,0,0,270,90.00001
85.73668,0,4.330714,0,0,270,90.00001
85.75337,0,4.357234,0,0,270,90.00001
85.77002,0,4.383693,0,0,270,90.00001
85.78671,0,4.410212,0,0,270,90.00001
85.80336,0,4.436671,0,0,270,90.00001
85.82003,0,4.46316,0,0,270,90.00001
85.83668,0,4.489619,0,0,270,90.00001
85.85336,0,4.516137,0,0,270,90.00001
85.87002,0,4.542596,0,0,270,90.00001
85.8867,0,4.569107,0,0,270,90.00001
85.90337,0,4.595594,0,0,270,90.00001
85.92001,0,4.622054,0,0,270,90.00001
85.93669,0,4.648561,0,0,270,90.00001
85.95337,0,4.675056,0,0,270,90.00001
85.97002,0,4.701515,0,0,270,90.00001
85.98666,0,4.727974,0,0,270,90.00001
86.00336,0,4.754506,0,0,270,90.00001
86.02001,0,4.780965,0,0,270,90.00001
86.0367,0,4.807478,0,0,270,90.00001
86.05334,0,4.833938,0,0,270,90.00001
86.07003,0,4.860452,0,0,270,90.00001
86.08669,0,4.886911,0,0,270,90.00001
86.10336,0,4.91342,0,0,270,90.00001
86.12001,0,4.939879,0,0,270,90.00001
86.1367,0,4.966386,0,0,270,90.00001
86.17003,0,5.019363,0,0,270,90.00001
86.18671,0,5.045861,0,0,270,90.00001
86.20335,0,5.07232,0,0,270,90.00001
86.22002,0,5.098808,0,0,270,90.00001
86.23669,0,5.125304,0,0,270,90.00001
86.25335,0,5.151763,0,0,270,90.00001
86.27003,0,5.178265,0,0,270,90.00001
86.28667,0,5.204724,0,0,270,90.00001
86.30336,0,5.231238,0,0,270,90.00001
86.32003,0,5.257737,0,0,270,90.00001
86.33669,0,5.284196,0,0,270,90.00001
86.35336,0,5.310698,0,0,270,90.00001
86.37001,0,5.337157,0,0,270,90.00001
86.38669,0,5.363667,0,0,270,90.00001
86.40334,0,5.390126,0,0,270,90.00001
86.42002,0,5.416638,0,0,270,90.00001
